time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision,episode
0,Rest Period,27.722549710191615,2,GREEN,5.0,False,False,0
15,HMI Supervision,38.23885753323254,2,ORANGE,2.0,False,False,0
30,Material Delivery,51.22914954006694,3,RED,0.1,True,False,0
45,Packaging Preparation,65.86059793512686,4,RED,0.1,True,False,0
0,Rest Period,28.313910180649778,2,GREEN,5.0,False,False,1
15,HMI Supervision,37.40028501418434,2,ORANGE,2.0,False,False,1
30,Material Delivery,52.27779998201752,3,RED,0.1,True,False,1
45,Packaging Preparation,67.30645812675232,4,RED,0.1,True,False,1
0,Rest Period,27.53907225412439,2,GREEN,5.0,False,False,2
15,HMI Supervision,37.452281741595044,2,ORANGE,2.0,False,False,2
30,Material Delivery,51.71435131787048,3,RED,0.1,True,False,2
45,Packaging Preparation,67.09713563966854,4,RED,0.1,True,False,2
0,Rest Period,27.935342658806462,2,GREEN,5.0,False,False,3
15,HMI Supervision,37.38168696094476,2,ORANGE,2.0,False,False,3
30,Material Delivery,51.58952360806986,3,RED,0.1,True,False,3
45,Packaging Preparation,67.98474258267348,4,RED,0.1,True,False,3
0,Rest Period,26.91478465769158,2,GREEN,5.0,False,False,4
15,HMI Supervision,37.900705044171445,2,ORANGE,2.0,False,False,4
30,Material Delivery,51.30557746016515,3,RED,0.1,True,False,4
45,Packaging Preparation,67.94696547526918,4,RED,0.1,True,False,4
0,Rest Period,27.063519792944874,2,GREEN,5.0,False,False,5
15,HMI Supervision,36.177640720386464,2,ORANGE,2.0,False,False,5
30,Material Delivery,49.45463686905051,3,RED,0.1,True,False,5
45,Packaging Preparation,64.90022942329752,4,RED,0.1,True,False,5
0,Rest Period,28.17191382908596,2,GREEN,5.0,False,False,6
15,HMI Supervision,39.16577893089272,2,ORANGE,2.0,False,False,6
30,Material Delivery,54.34198097785681,3,RED,0.1,True,False,6
45,Packaging Preparation,70.70623990984039,4,RED,0.1,True,False,6
0,Rest Period,26.97596543035551,2,GREEN,5.0,False,False,7
15,HMI Supervision,36.11187228106569,2,ORANGE,2.0,False,False,7
30,Material Delivery,49.75128191929935,3,RED,0.1,True,False,7
45,Packaging Preparation,66.85652932367705,4,RED,0.1,True,False,7
0,Rest Period,27.47823907028406,2,GREEN,5.0,False,False,8
15,HMI Supervision,36.806496762483334,2,ORANGE,2.0,False,False,8
30,Material Delivery,49.56949305834989,3,RED,0.1,True,False,8
45,Packaging Preparation,66.49339876779217,4,RED,0.1,True,False,8
0,Rest Period,26.759412725692606,2,GREEN,5.0,False,False,9
15,HMI Supervision,37.22519598682632,2,ORANGE,2.0,False,False,9
30,Material Delivery,51.93204025408011,3,RED,0.1,True,False,9
45,Packaging Preparation,67.52771524270722,4,RED,0.1,True,False,9
0,Rest Period,28.997699941535302,2,GREEN,5.0,False,False,10
15,HMI Supervision,38.707804971489125,2,ORANGE,2.0,False,False,10
30,Material Delivery,52.130445649075824,3,RED,0.1,True,False,10
45,Packaging Preparation,68.91748148154102,4,RED,0.1,True,False,10
0,Rest Period,29.06062525812421,2,GREEN,5.0,False,False,11
15,HMI Supervision,38.3460096924602,2,ORANGE,2.0,False,False,11
30,Material Delivery,53.023599978101345,3,RED,0.1,True,False,11
45,Packaging Preparation,69.94340462575549,4,RED,0.1,True,False,11
0,Rest Period,28.109332684687004,2,GREEN,5.0,False,False,12
15,HMI Supervision,37.20542512944264,2,ORANGE,2.0,False,False,12
30,Material Delivery,49.84811255750863,3,RED,0.1,True,False,12
45,Packaging Preparation,65.30219525676364,4,RED,0.1,True,False,12
0,Rest Period,29.113748496947103,2,GREEN,5.0,False,False,13
15,HMI Supervision,38.98361817224872,2,ORANGE,2.0,False,False,13
30,Material Delivery,52.17696505397035,3,RED,0.1,True,False,13
